big_guy.thisRepN,big_guy.thisTrialN,big_guy.thisN,big_guy.thisIndex,outer_loop1.thisRepN,outer_loop1.thisTrialN,outer_loop1.thisN,outer_loop1.thisIndex,outer_loop2.thisRepN,outer_loop2.thisTrialN,outer_loop2.thisN,outer_loop2.thisIndex,MM_self_loop2.thisRepN,MM_self_loop2.thisTrialN,MM_self_loop2.thisN,MM_self_loop2.thisIndex,MC_self_loop2.thisRepN,MC_self_loop2.thisTrialN,MC_self_loop2.thisN,MC_self_loop2.thisIndex,MC_other_loop2.thisRepN,MC_other_loop2.thisTrialN,MC_other_loop2.thisN,MC_other_loop2.thisIndex,MM_other_loop2.thisRepN,MM_other_loop2.thisTrialN,MM_other_loop2.thisN,MM_other_loop2.thisIndex,MC_self_loop1.thisRepN,MC_self_loop1.thisTrialN,MC_self_loop1.thisN,MC_self_loop1.thisIndex,MM_self_loop1.thisRepN,MM_self_loop1.thisTrialN,MM_self_loop1.thisN,MM_self_loop1.thisIndex,MM_other_loop1.thisRepN,MM_other_loop1.thisTrialN,MM_other_loop1.thisN,MM_other_loop1.thisIndex,MC_other_loop1.thisRepN,MC_other_loop1.thisTrialN,MC_other_loop1.thisN,MC_other_loop1.thisIndex,begin_text.started,begin_text.stopped,begin_exp.keys,begin_exp.rt,begin_exp.started,begin_exp.stopped,Rest_title.started,Rest_title.stopped,rest_body.started,rest_body.stopped,rest_nxt.started,rest_nxt.stopped,advance_0.keys,advance_0.rt,advance_0.started,advance_0.stopped,begin_scan_txt.started,begin_scan_txt.stopped,still_txt.started,still_txt.stopped,begin_scan_btn.keys,begin_scan_btn.rt,begin_scan_btn.started,begin_scan_btn.stopped,wait_scan_txt.started,wait_scan_txt.stopped,still_txt2.started,still_txt2.stopped,trial_crosshair_rest.started,trial_crosshair_rest.stopped,break_txt.started,break_txt.stopped,break_btn.keys,break_btn.rt,break_btn.started,break_btn.stopped,MM_other_title.started,MM_other_title.stopped,MM_other_body.started,MM_other_body.stopped,MM_other_nxt.started,MM_other_nxt.stopped,advance3.keys,advance3.rt,advance3.started,advance3.stopped,other_n_btn.keys,other_n_btn.rt,other_n_btn.started,other_n_btn.stopped,MM_self_title.started,MM_self_title.stopped,MM_self_body.started,MM_self_body.stopped,MM_self_nxt.started,MM_self_nxt.stopped,advance_2.keys,advance_2.rt,advance_2.started,advance_2.stopped,self_btn.keys,self_btn.rt,self_btn.started,self_btn.stopped,trial_crosshair.started,trial_crosshair.stopped,MC_self_title.started,MC_self_title.stopped,MC_self_body.started,MC_self_body.stopped,MC_self_nxt.started,MC_self_nxt.stopped,advance_1.keys,advance_1.rt,advance_1.started,advance_1.stopped,MC_other_title.started,MC_other_title.stopped,MC_other_body.started,MC_other_body.stopped,MC_other_nxt.started,MC_other_nxt.stopped,advance4.keys,advance4.rt,advance4.started,advance4.stopped,other_j_btn1.keys,other_j_btn1.rt,other_j_btn1.started,other_j_btn1.stopped,end.started,end.stopped,end_press.keys,end_press.rt,end_press.started,end_press.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.1230283356272,None,1478.1230283356272,None,['equal'],[1.4807718228548765],1478.1230283356272,None,1476.6185543718748,None,1476.6185543718748,None,,,1787.1310822917148,None,1,13.70178122073412,1787.1310822917148,None,,,,,,,,,,,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[17.748651296831667, 39.31315608508885, 62.36257356218994, 77.49606447294354, 98.87918984517455, 113.42701618792489, 133.94479179289192, 174.7449517659843, 193.17810662603006, 212.5772814322263, 240.67705496307462, 269.12614011298865, 291.7268540970981, 307.24243135983124]",1479.8567595439963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,1439.9198808036745,None,1439.9198808036745,None,1439.9198808036745,None,1,17.351173758041114,1439.9198808036745,None,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1831.7808267446235,None,1831.7808267446235,None,['equal'],[1.4900987870059907],1831.7808267446235,None,1830.2855313955806,None,1830.2855313955806,None,,,2140.776068498846,None,1,12.019007136113942,2140.776068498846,None,,,,,,,,,,,,,,,1800.847240358591,None,1800.847240358591,None,1800.847240358591,None,1,7.773994714021683,1800.847240358591,None,['1'],[155.7327642426826],1833.2809921936132,None,1833.2809921936132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,2187.142313117627,None,2187.142313117627,None,['equal'],[1.473109916318208],2187.142313117627,None,2185.642604164779,None,2185.642604164779,None,,,2496.1380090229213,None,1,11.37349267443642,2496.1380090229213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152.8088234919123,None,2152.8088234919123,None,2152.8088234919123,None,1,16.186165443155915,2152.8088234919123,None,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']","[19.14472524402663, 41.428559442050755, 66.6114406445995, 84.52813937701285, 107.01059492770582, 131.1102718329057, 150.39214952802286, 179.25941511103883, 201.2931512617506, 231.37573922798038, 264.45814757887274, 299.2249768306501]",2188.8657157085836,None,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2530.2877905257046,None,2530.2877905257046,None,['equal'],[1.473093831911683],2530.2877905257046,None,2528.7716609309427,None,2528.7716609309427,None,,,2839.2836848287843,None,1,9.118165843188763,2839.2836848287843,None,2507.5383647619747,None,2507.5383647619747,None,2507.5383647619747,None,['1'],[3.7393258903175592],2507.5383647619747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['1'],[197.0333340326324],2532.020802057814,None,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM009,001,2021_Oct_25_1526,ATM_main_5-19-21,2021.1.3,60.12492770009884,
